n:90 mse_avg:385.99 mse_y:577.99 mse_u:1.82 mse_v:2.19 psnr_avg:22.27 psnr_y:20.51 psnr_u:45.52 psnr_v:44.72 
n:91 mse_avg:160.13 mse_y:239.52 mse_u:1.23 mse_v:1.50 psnr_avg:26.09 psnr_y:24.34 psnr_u:47.24 psnr_v:46.37 
n:92 mse_avg:290.74 mse_y:434.33 mse_u:2.68 mse_v:4.48 psnr_avg:23.50 psnr_y:21.75 psnr_u:43.86 psnr_v:41.62 
n:93 mse_avg:414.20 mse_y:619.48 mse_u:2.90 mse_v:4.41 psnr_avg:21.96 psnr_y:20.21 psnr_u:43.51 psnr_v:41.69 
n:94 mse_avg:263.34 mse_y:393.43 mse_u:2.77 mse_v:3.58 psnr_avg:23.93 psnr_y:22.18 psnr_u:43.71 psnr_v:42.60 
n:95 mse_avg:431.88 mse_y:645.07 mse_u:4.47 mse_v:6.52 psnr_avg:21.78 psnr_y:20.03 psnr_u:41.62 psnr_v:39.99 
n:96 mse_avg:570.83 mse_y:852.59 mse_u:6.21 mse_v:8.41 psnr_avg:20.57 psnr_y:18.82 psnr_u:40.20 psnr_v:38.88 
n:97 mse_avg:372.68 mse_y:555.98 mse_u:5.23 mse_v:6.94 psnr_avg:22.42 psnr_y:20.68 psnr_u:40.94 psnr_v:39.71 
n:98 mse_avg:511.88 mse_y:764.78 mse_u:5.04 mse_v:7.08 psnr_avg:21.04 psnr_y:19.30 psnr_u:41.11 psnr_v:39.63 
n:99 mse_avg:496.11 mse_y:740.43 mse_u:6.04 mse_v:8.92 psnr_avg:21.18 psnr_y:19.44 psnr_u:40.32 psnr_v:38.63 
n:100 mse_avg:509.30 mse_y:760.75 mse_u:5.90 mse_v:6.92 psnr_avg:21.06 psnr_y:19.32 psnr_u:40.42 psnr_v:39.73 
n:101 mse_avg:612.94 mse_y:915.82 mse_u:7.19 mse_v:7.17 psnr_avg:20.26 psnr_y:18.51 psnr_u:39.56 psnr_v:39.58 
n:102 mse_avg:694.63 mse_y:1037.39 mse_u:9.27 mse_v:8.93 psnr_avg:19.71 psnr_y:17.97 psnr_u:38.46 psnr_v:38.62 
n:103 mse_avg:518.28 mse_y:774.57 mse_u:5.85 mse_v:5.54 psnr_avg:20.99 psnr_y:19.24 psnr_u:40.46 psnr_v:40.69 
n:104 mse_avg:514.58 mse_y:769.30 mse_u:5.18 mse_v:5.08 psnr_avg:21.02 psnr_y:19.27 psnr_u:40.99 psnr_v:41.07 
n:105 mse_avg:435.69 mse_y:652.27 mse_u:2.58 mse_v:2.45 psnr_avg:21.74 psnr_y:19.99 psnr_u:44.01 psnr_v:44.23 
n:106 mse_avg:148.05 mse_y:221.13 mse_u:1.98 mse_v:1.76 psnr_avg:26.43 psnr_y:24.68 psnr_u:45.16 psnr_v:45.68 
n:107 mse_avg:339.48 mse_y:507.44 mse_u:3.69 mse_v:3.44 psnr_avg:22.82 psnr_y:21.08 psnr_u:42.46 psnr_v:42.77 
n:108 mse_avg:226.65 mse_y:338.90 mse_u:2.30 mse_v:1.97 psnr_avg:24.58 psnr_y:22.83 psnr_u:44.51 psnr_v:45.19 
n:109 mse_avg:371.16 mse_y:555.17 mse_u:3.30 mse_v:2.95 psnr_avg:22.44 psnr_y:20.69 psnr_u:42.95 psnr_v:43.43 
n:110 mse_avg:306.63 mse_y:458.93 mse_u:2.11 mse_v:1.95 psnr_avg:23.26 psnr_y:21.51 psnr_u:44.89 psnr_v:45.23 
n:111 mse_avg:387.51 mse_y:580.24 mse_u:2.10 mse_v:2.00 psnr_avg:22.25 psnr_y:20.49 psnr_u:44.91 psnr_v:45.12 
n:112 mse_avg:192.55 mse_y:287.96 mse_u:1.80 mse_v:1.68 psnr_avg:25.29 psnr_y:23.54 psnr_u:45.58 psnr_v:45.88 
n:113 mse_avg:161.62 mse_y:241.30 mse_u:2.31 mse_v:2.23 psnr_avg:26.05 psnr_y:24.31 psnr_u:44.49 psnr_v:44.65 
n:114 mse_avg:564.81 mse_y:844.06 mse_u:6.24 mse_v:6.38 psnr_avg:20.61 psnr_y:18.87 psnr_u:40.18 psnr_v:40.08 
n:115 mse_avg:519.43 mse_y:777.27 mse_u:3.75 mse_v:3.79 psnr_avg:20.98 psnr_y:19.23 psnr_u:42.39 psnr_v:42.34 
n:116 mse_avg:539.36 mse_y:807.10 mse_u:3.77 mse_v:3.98 psnr_avg:20.81 psnr_y:19.06 psnr_u:42.37 psnr_v:42.14 
n:117 mse_avg:307.43 mse_y:459.93 mse_u:2.18 mse_v:2.65 psnr_avg:23.25 psnr_y:21.50 psnr_u:44.74 psnr_v:43.91 
n:118 mse_avg:158.35 mse_y:236.95 mse_u:1.03 mse_v:1.29 psnr_avg:26.13 psnr_y:24.38 psnr_u:48.00 psnr_v:47.04 
n:119 mse_avg:135.08 mse_y:201.95 mse_u:1.17 mse_v:1.53 psnr_avg:26.82 psnr_y:25.08 psnr_u:47.43 psnr_v:46.27 
n:120 mse_avg:192.66 mse_y:287.63 mse_u:2.50 mse_v:2.91 psnr_avg:25.28 psnr_y:23.54 psnr_u:44.14 psnr_v:43.49 
n:121 mse_avg:359.50 mse_y:536.61 mse_u:5.09 mse_v:5.47 psnr_avg:22.57 psnr_y:20.83 psnr_u:41.06 psnr_v:40.75 
n:122 mse_avg:410.38 mse_y:613.18 mse_u:4.51 mse_v:5.06 psnr_avg:22.00 psnr_y:20.25 psnr_u:41.59 psnr_v:41.09 
n:123 mse_avg:168.84 mse_y:252.31 mse_u:1.53 mse_v:2.30 psnr_avg:25.86 psnr_y:24.11 psnr_u:46.30 psnr_v:44.51 
n:124 mse_avg:216.36 mse_y:323.37 mse_u:1.89 mse_v:2.79 psnr_avg:24.78 psnr_y:23.03 psnr_u:45.37 psnr_v:43.67 
n:125 mse_avg:273.45 mse_y:408.55 mse_u:2.95 mse_v:3.53 psnr_avg:23.76 psnr_y:22.02 psnr_u:43.44 psnr_v:42.65 
n:126 mse_avg:118.85 mse_y:177.16 mse_u:1.99 mse_v:2.46 psnr_avg:27.38 psnr_y:25.65 psnr_u:45.14 psnr_v:44.22 
n:127 mse_avg:165.11 mse_y:245.89 mse_u:3.29 mse_v:3.83 psnr_avg:25.95 psnr_y:24.22 psnr_u:42.95 psnr_v:42.29 
n:128 mse_avg:297.11 mse_y:443.57 mse_u:4.03 mse_v:4.34 psnr_avg:23.40 psnr_y:21.66 psnr_u:42.07 psnr_v:41.76 
n:129 mse_avg:315.58 mse_y:471.47 mse_u:3.75 mse_v:3.83 psnr_avg:23.14 psnr_y:21.40 psnr_u:42.39 psnr_v:42.30 
n:130 mse_avg:264.71 mse_y:395.70 mse_u:2.76 mse_v:2.70 psnr_avg:23.90 psnr_y:22.16 psnr_u:43.71 psnr_v:43.81 
n:131 mse_avg:141.07 mse_y:210.43 mse_u:2.35 mse_v:2.35 psnr_avg:26.64 psnr_y:24.90 psnr_u:44.43 psnr_v:44.42 
n:132 mse_avg:132.45 mse_y:197.54 mse_u:2.26 mse_v:2.28 psnr_avg:26.91 psnr_y:25.17 psnr_u:44.58 psnr_v:44.55 
n:133 mse_avg:98.15 mse_y:146.15 mse_u:2.15 mse_v:2.17 psnr_avg:28.21 psnr_y:26.48 psnr_u:44.81 psnr_v:44.76 
n:134 mse_avg:103.17 mse_y:153.67 mse_u:2.23 mse_v:2.14 psnr_avg:28.00 psnr_y:26.26 psnr_u:44.64 psnr_v:44.83 
n:135 mse_avg:144.21 mse_y:214.93 mse_u:2.90 mse_v:2.68 psnr_avg:26.54 psnr_y:24.81 psnr_u:43.51 psnr_v:43.85 
n:136 mse_avg:237.01 mse_y:353.69 mse_u:3.85 mse_v:3.46 psnr_avg:24.38 psnr_y:22.64 psnr_u:42.28 psnr_v:42.74 
n:137 mse_avg:384.79 mse_y:574.37 mse_u:5.98 mse_v:5.29 psnr_avg:22.28 psnr_y:20.54 psnr_u:40.36 psnr_v:40.89 
n:138 mse_avg:435.88 mse_y:650.82 mse_u:6.50 mse_v:5.49 psnr_avg:21.74 psnr_y:20.00 psnr_u:40.00 psnr_v:40.74 
